specObjID,bestObjID,plate,mjd,fiberID,survey,class,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1.053732E+19,1237657594613137954,9359,58056,78,eboss,GALAXY,STARBURST,123.9511,37.0953,22.52696,22.1188,21.3834,21.50032,20.75617
1.05375E+19,1237655107822027087,9359,58056,743,eboss,GALAXY,STARBURST,123.1188,38.61992,21.87827,22.00902,22.03256,21.97331,22.79928
1.053859E+19,1237653587944538663,9360,58055,625,eboss,GALAXY,STARBURST,120.7146,39.95221,21.94847,21.54414,20.88727,20.68597,20.42739
1.053968E+19,1237655107822027084,9361,58055,470,eboss,GALAXY,STARBURST,123.1129,38.6226,21.82445,21.28465,21.1067,21.01656,20.97899
1.054297E+19,1237674366991401886,9364,57699,141,eboss,GALAXY,STARBURST,114.1228,32.83546,22.66567,22.12242,21.33073,21.51145,21.4695
1.054533E+19,1237651496827290144,9366,57746,536,eboss,GALAXY,STARBURST,112.4739,37.45428,21.4794,21.05925,21.16368,21.20774,21.32096
1.054655E+19,1237673704503443858,9367,57758,896,eboss,GALAXY,STARBURST,112.4956,39.83144,20.28602,20.01007,19.57696,19.37631,19.22331
1.054763E+19,1237651191887691975,9368,57817,710,eboss,GALAXY,STARFORMING,116.5842,39.06788,22.31351,21.98082,22.1867,21.94185,22.82714
1.055647E+19,1237678890136699272,9376,58072,111,eboss,GALAXY,STARFORMING,37.57039,-1.546246,23.42214,23.27896,22.40556,22.28365,22.75596
1.057562E+19,1237663785278112106,9393,58100,152,eboss,GALAXY,STARBURST,15.87268,0.9489031,23.18118,22.08726,21.37082,20.7392,20.59821
1.057912E+19,1237663785279619443,9396,58101,594,eboss,GALAXY,BROADLINE,19.36454,0.8640279,24.49902,23.19055,22.66229,22.07015,21.35656
1.059705E+19,1237663784202666796,9412,58096,302,eboss,GALAXY,STARBURST,12.09755,0.2059926,23.50541,22.70921,22.26204,21.94292,21.51627
1.060376E+19,1237678661441290611,9418,57728,117,eboss,GALAXY,STARBURST,39.55926,3.748228,22.90578,22.7861,22.34975,21.8761,22.89329
1.061514E+19,1237678620107866451,9428,58101,582,eboss,GALAXY,BROADLINE,12.9291,3.445985,22.53208,22.34903,21.86316,21.33846,20.59402
1.07481E+19,1237667736104534288,9546,57864,957,eboss,GALAXY,STARBURST,148.5363,19.25064,21.85628,21.88611,21.40492,20.9077,21.01573
1.075011E+19,1237668290152104588,9548,57785,53,eboss,GALAXY,STARBURST,142.7661,15.73439,23.20706,22.8857,22.25888,21.95143,21.86343
1.075015E+19,1237670965923152250,9548,57785,203,eboss,GALAXY,STARBURST,141.6101,15.32434,23.99946,22.86602,22.05385,21.74867,20.93664
9.843969E+18,1237678661424709818,8743,57663,825,eboss,GALAXY,STARBURST,1.630711,4.670738,23.25171,21.94705,21.43311,21.36098,21.07545
9.846029E+18,1237678619567456445,8745,57391,124,eboss,GALAXY,STARBURST,4.957195,3.110742,22.38331,22.44615,21.97676,22.14154,21.97166
9.847137E+18,1237678623304057072,8746,58396,58,eboss,GALAXY,STARBURST,6.737017,5.321041,21.53124,21.48994,20.86185,20.62864,20.24722
9.848411E+18,1237678622229987650,8747,57401,598,eboss,GALAXY,STARBURST,6.021935,4.530966,21.16455,20.67058,20.46185,20.12397,20.09091
9.863142E+18,1237678660895899935,8760,57672,938,eboss,GALAXY,STARBURST,20.01062,4.057703,23.34269,21.91802,21.19924,21.0416,21.17844
9.864038E+18,1237678623847088741,8761,58430,104,eboss,GALAXY,STARBURST,21.01834,5.574941,22.20525,22.4317,21.87029,21.97003,22.22876
9.864042E+18,1237678623847219444,8761,58430,120,eboss,GALAXY,STARBURST,21.17852,5.619401,20.76284,20.45555,19.9615,20.69654,20.19923
9.894434E+18,1237663782593888798,8788,57360,92,eboss,GALAXY,STARBURST,16.24537,-1.134329,23.11557,22.81582,22.34861,22.13632,22.26347
9.89448E+18,1237666338651636191,8788,57360,261,eboss,GALAXY,STARBURST,15.50559,-0.4331513,24.67724,22.96278,22.37391,21.98857,21.51794
9.895693E+18,1237663784204829620,8789,57358,575,eboss,GALAXY,STARBURST,17.06392,0.1949551,23.34421,22.37248,21.72179,21.55071,21.76917
9.89575E+18,1237663785279029688,8789,57358,785,eboss,GALAXY,STARBURST,18.02564,0.9743384,23.73007,23.08426,22.55479,22.34035,22.71549
9.895753E+18,1237663204922032404,8789,57358,797,eboss,GALAXY,AGN,18.01458,0.7451325,21.67673,21.2622,20.40601,20.00378,19.59258
9.895766E+18,1237663784742289664,8789,57358,843,eboss,GALAXY,STARFORMING,18.3286,0.4820754,21.72072,21.34462,20.84451,20.48458,19.93117
9.895789E+18,1237663784205549894,8789,57358,928,eboss,GALAXY,STARBURST,18.62233,0.1855225,22.02983,21.60191,20.95631,20.69074,20.286
9.896696E+18,1237666339190801019,8790,57363,133,eboss,GALAXY,STARFORMING,20.82024,-0.1516183,23.5459,21.52136,20.77109,20.06077,19.67834
9.897853E+18,1237663782596444411,8791,57373,245,eboss,GALAXY,STARBURST,22.03169,-1.205002,22.08881,21.91747,21.21352,20.99176,20.86152
